Name,Collector Number,Card Link,Rarity,Domain 1,Domain 2,types,Subtype 1,Subtype 2,Subtype 3,Subtype 4,Subtype 5,supertypes,cmc,Energy,Power,Total Cost,Might,Description,ALT TEXT,Tags
Altar to Unity,OGN-275/298,https://riftdecks.com/cards/details-altar-to-unity,uncommon,colorless,,battlefield,,,,,,,,,,-,,"When you hold here, play a 1 [S] Recruit unit token in your base.","Riftbound Battlefield: Altar to Unity. When you hold here, play a 1 [S] Recruit unit token in your base.",
Aspirant's Climb,OGN-276/298,https://riftdecks.com/cards/details-aspirants-climb,uncommon,colorless,,battlefield,,,,,,,,,,-,,Increase the points needed to win the game by 1.,Riftbound Battlefield: Aspirant's Climb. Increase the points needed to win the game by 1.,
Back-Alley Bar,OGN-277/298,https://riftdecks.com/cards/details-back-alley-bar,uncommon,colorless,,battlefield,,,,,,,,,,-,,"When a unit moves from here, give it +1 [S] this turn.","Riftbound Battlefield: Back-Alley Bar. When a unit moves from here, give it +1 [S] this turn.",
Bandle Tree,OGN-278/298,https://riftdecks.com/cards/details-bandle-tree,uncommon,colorless,,battlefield,,,,,,,,,,-,,You may hide an additional card here.,Riftbound Battlefield: Bandle Tree. You may hide an additional card here.,
Emperor's Dais,SFD-207/221,https://riftdecks.com/cards/details-emperors-dais,uncommon,colorless,,battlefield,,,,,,,,,,-,,"When you conquer here, you may pay [1] and return a unit you control here to its owner's hand. If you do, play a 2 [S] Sand Soldier unit token here.","Riftbound Battlefield: Emperor's Dais. When you conquer here, you may pay [1] and return a unit you control here to its owner's hand. If you do, play a 2 [S] Sand Soldier unit token here.",
Forge of the Fluft,SFD-208/221,https://riftdecks.com/cards/details-forge-of-the-fluft,uncommon,colorless,,battlefield,,,,,,,,,,-,,"While you control this battlefield, friendly legends have ""[T]: Attach an Equipment you control to a unit you control.""","Riftbound Battlefield: Forge of the Fluft. While you control this battlefield, friendly legends have ""[T]: Attach an Equipment you control to a unit you control.""",
Forgotten Monument,SFD-209/221,https://riftdecks.com/cards/details-forgotten-monument,uncommon,colorless,,battlefield,,,,,,,,,,-,,Players can't score here until their third turn.,Riftbound Battlefield: Forgotten Monument. Players can't score here until their third turn.,
Fortified Position,OGN-279/298,https://riftdecks.com/cards/details-fortified-position,uncommon,colorless,,battlefield,,,,,,,,,,-,,"When you defend here, choose a unit. It gains [Shield 2] this combat. (+2 [S] while it's a defender.)","Riftbound Battlefield: Fortified Position. When you defend here, choose a unit. It gains [Shield 2] this combat. (+2 [S] while it's a defender.)",
Grove of the God-Willow,OGN-280/298,https://riftdecks.com/cards/details-grove-of-the-god-willow,uncommon,colorless,,battlefield,,,,,,,,,,-,,"When you hold here, draw 1.","Riftbound Battlefield: Grove of the God-Willow. When you hold here, draw 1.",
Hall of Legends,SFD-210/221,https://riftdecks.com/cards/details-hall-of-legends,uncommon,colorless,,battlefield,,,,,,,,,,-,,"When you conquer here, you may pay [1] to ready your legend.","Riftbound Battlefield: Hall of Legends. When you conquer here, you may pay [1] to ready your legend.",
