collector_number,name,types,domain,description,alt_text,paraphrase,implementation_status,issues_or_mismatches,rbexp_refs
OGN-275/298,Altar to Unity,battlefield,colorless,"When you hold here, play a 1 [S] Recruit unit token in your base.","Riftbound Battlefield: Altar to Unity. When you hold here, play a 1 [S] Recruit unit token in your base.","Holding this battlefield, play a 1 [S] Recruit unit token in your base.",PARTIAL,Flags: TRIGGER_UNSUPPORTED: When you hold here,Full_Card_Audit.json
OGN-276/298,Aspirant's Climb,battlefield,colorless,Increase the points needed to win the game by 1.,Riftbound Battlefield: Aspirant's Climb. Increase the points needed to win the game by 1.,Increase the points needed to win the game by 1.,FULL,,Full_Card_Audit.json
OGN-277/298,Back-Alley Bar,battlefield,colorless,"When a unit moves from here, give it +1 [S] this turn.","Riftbound Battlefield: Back-Alley Bar. When a unit moves from here, give it +1 [S] this turn.","When a unit moves from here, give it +1 [S] this turn.",PARTIAL,Flags: TRIGGER_UNSUPPORTED: When a unit moves from here,Full_Card_Audit.json
OGN-278/298,Bandle Tree,battlefield,colorless,You may hide an additional card here.,Riftbound Battlefield: Bandle Tree. You may hide an additional card here.,Optional: hide an additional card here.,FULL,,Full_Card_Audit.json
SFD-207/221,Emperor's Dais,battlefield,colorless,"When you conquer here, you may pay [1] and return a unit you control here to its owner's hand. If you do, play a 2 [S] Sand Soldier unit token here.","Riftbound Battlefield: Emperor's Dais. When you conquer here, you may pay [1] and return a unit you control here to its owner's hand. If you do, play a 2 [S] Sand Soldier unit token here.","On conquer here, Optional: pay [1] and return a unit you control here to its owner's hand. If you do, play a 2 [S] Sand Soldier unit token here.",PARTIAL,Flags: IF_YOU_DO_BRANCH,problems.json
SFD-208/221,Forge of the Fluft,battlefield,colorless,"While you control this battlefield, friendly legends have ""[T]: Attach an Equipment you control to a unit you control.""","Riftbound Battlefield: Forge of the Fluft. While you control this battlefield, friendly legends have ""[T]: Attach an Equipment you control to a unit you control.""","While you control this battlefield, friendly legends have ""[T]: Attach an Equipment you control to a unit you control.""",UNKNOWN,,
SFD-209/221,Forgotten Monument,battlefield,colorless,Players can't score here until their third turn.,Riftbound Battlefield: Forgotten Monument. Players can't score here until their third turn.,Players can't score here until their third turn.,UNKNOWN,,
OGN-279/298,Fortified Position,battlefield,colorless,"When you defend here, choose a unit. It gains [Shield 2] this combat. (+2 [S] while it's a defender.)","Riftbound Battlefield: Fortified Position. When you defend here, choose a unit. It gains [Shield 2] this combat. (+2 [S] while it's a defender.)","When you defend here, choose a unit. It gains [Shield 2] this combat. (+2 [S] while it's a defender.)",UNSUPPORTED,Flags: TRIGGER_UNSUPPORTED: When you defend here,Full_Card_Audit.json
OGN-280/298,Grove of the God-Willow,battlefield,colorless,"When you hold here, draw 1.","Riftbound Battlefield: Grove of the God-Willow. When you hold here, draw 1.","Holding this battlefield, draw 1.",PARTIAL,Flags: TRIGGER_UNSUPPORTED: When you hold here,Full_Card_Audit.json
SFD-210/221,Hall of Legends,battlefield,colorless,"When you conquer here, you may pay [1] to ready your legend.","Riftbound Battlefield: Hall of Legends. When you conquer here, you may pay [1] to ready your legend.","On conquer here, Optional: pay [1] to ready your legend.",UNKNOWN,,
OGN-281/298,Hallowed Tomb,battlefield,colorless,"When you hold here, you may return your Chosen Champion from your trash to your Champion Zone if it is empty.","Riftbound Battlefield: Hallowed Tomb. When you hold here, you may return your Chosen Champion from your trash to your Champion Zone if it is empty.","Holding this battlefield, Optional: return your Chosen Champion from your trash to your Champion Zone if it is empty.",PARTIAL,Flags: CONDITIONAL_GENERAL,problems.json
SFD-211/221,Marai Spire,battlefield,colorless,"While you control this battlefield, friendly [Repeat] costs cost [1] less.","Riftbound Battlefield: Marai Spire. While you control this battlefield, friendly [Repeat] costs cost [1] less.","While you control this battlefield, friendly [Repeat] costs cost [1] less.",UNKNOWN,,
SFD-212/221,Minefield,battlefield,colorless,"When you conquer here, put the top 2 cards of your Main Deck into your trash.","Riftbound Battlefield: Minefield. When you conquer here, put the top 2 cards of your Main Deck into your trash.","On conquer here, put the top 2 cards of your Main Deck into your trash.",UNKNOWN,,
OGN-282/298,Monastery of Hirana,battlefield,colorless,"When you conquer here, you may spend a buff to draw 1.","Riftbound Battlefield: Monastery of Hirana. When you conquer here, you may spend a buff to draw 1.","On conquer here, Optional: spend a buff to draw 1.",PARTIAL,Flags: TRIGGER_UNSUPPORTED: When you conquer here,Full_Card_Audit.json
OGN-283/298,Navori Fighting Pit,battlefield,colorless,"When you hold here, buff a unit here. (If it doesn't have a buff, it gets a +1 [S] buff.)","Riftbound Battlefield: Navori Fighting Pit. When you hold here, buff a unit here. (If it doesn't have a buff, it gets a +1 [S] buff.)","Holding this battlefield, buff a unit here. (If it doesn't have a buff, it gets a +1 [S] buff.)",PARTIAL,Flags: CONDITIONAL_GENERAL,problems.json
OGN-284/298,Obelisk of Power,battlefield,colorless,"At the start of each player's first Beginning Phase, that player channels 1 rune.","Riftbound Battlefield: Obelisk of Power. At the start of each player's first Beginning Phase, that player channels 1 rune.","At the start of each player's first Beginning Phase, that player channels 1 rune.",UNSUPPORTED,Flags: TRIGGER_UNSUPPORTED: At the start of each player's first Beginning Phase,problems.json
SFD-213/221,Ornn's Forge,battlefield,colorless,"While you control this battlefield, the first friendly non-token gear played each turn costs [1] less.","Riftbound Battlefield: Ornn's Forge. While you control this battlefield, the first friendly non-token gear played each turn costs [1] less.","While you control this battlefield, the first friendly non-token gear played each turn costs [1] less.",UNKNOWN,,
SFD-214/221,Power Nexus,battlefield,colorless,"When you hold here, you may pay \[A]\[A]\[A]\[A] to score 1 point.","Riftbound Battlefield: Power Nexus. When you hold here, you may pay [A][A][A][A] to score 1 point.","Holding this battlefield, Optional: pay \[A]\[A]\[A]\[A] to score 1 point.",UNKNOWN,,
SFD-215/221,Ravenbloom Conservatory,battlefield,colorless,"When you defend here, reveal the top card of your Main Deck. If it's a spell, put it in your hand. Otherwise, recycle it.","Riftbound Battlefield: Ravenbloom Conservatory. When you defend here, reveal the top card of your Main Deck. If it's a spell, put it in your hand. Otherwise, recycle it.","When you defend here, reveal the top card of your Main Deck. If it's a spell, put it in your hand. Otherwise, recycle it.",PARTIAL,Needs targeted verification,problems.json
OGN-285/298,Reaver's Row,battlefield,colorless,"When you defend here, you may move a friendly unit here to base.","Riftbound Battlefield: Reaver's Row. When you defend here, you may move a friendly unit here to base.","When you defend here, Optional: move a friendly unit here to base.",PARTIAL,Defend-here move trigger path implemented; scenario verification pending.,Full_Card_Audit.json
OGN-286/298,Reckoner's Arena,battlefield,colorless,"When you hold here, activate the conquer effects of units here.","Riftbound Battlefield: Reckoner's Arena. When you hold here, activate the conquer effects of units here.","Holding this battlefield, activate the conquer effects of units here.",UNSUPPORTED,Flags: TRIGGER_UNSUPPORTED: When you hold here,Full_Card_Audit.json
SFD-216/221,Rockfall Path,battlefield,colorless,Units can't be played here.,Riftbound Battlefield: Rockfall Path. Units can't be played here.,Units can't be played here.,UNKNOWN,,
SFD-217/221,Seat of Power,battlefield,colorless,"When you conquer here, draw 1 for each other battlefield you or allies control.","Riftbound Battlefield: Seat of Power. When you conquer here, draw 1 for each other battlefield you or allies control.","On conquer here, draw 1 for each other battlefield you or allies control.",PARTIAL,Flags: SCALING_EFFECT,problems.json
OGN-287/298,Sigil of the Storm,battlefield,colorless,"When you conquer here, recycle one of your runes.","Riftbound Battlefield: Sigil of the Storm. When you conquer here, recycle one of your runes.","On conquer here, recycle one of your runes.",UNSUPPORTED,Flags: TRIGGER_UNSUPPORTED: When you conquer here,Full_Card_Audit.json
OGN-288/298,Startipped Peak,battlefield,colorless,"When you hold here, you may channel 1 rune exhausted.","Riftbound Battlefield: Startipped Peak. When you hold here, you may channel 1 rune exhausted.","Holding this battlefield, Optional: channel 1 rune exhausted.",PARTIAL,Flags: TRIGGER_UNSUPPORTED: When you hold here,Full_Card_Audit.json
SFD-218/221,Sunken Temple,battlefield,colorless,"When you conquer here with one or more [Mighty] units, you may pay [1] to draw 1.  (A unit is Mighty while it has 5+ [S].)","Riftbound Battlefield: Sunken Temple. When you conquer here with one or more [Mighty] units, you may pay [1] to draw 1. (A unit is Mighty while it has 5+ [S].)","On conquer here with one or more [Mighty] units, Optional: pay [1] to draw 1. (A unit is Mighty while it has 5+ [S].)",PARTIAL,Flags: TRIGGER_UNSUPPORTED: When you conquer here with one or more [Mighty] units,problems.json
OGN-289/298,Targon's Peak,battlefield,colorless,"When you conquer here, ready 2 runes at the end of this turn.","Riftbound Battlefield: Targon's Peak. When you conquer here, ready 2 runes at the end of this turn.","On conquer here, ready 2 runes at the end of this turn.",PARTIAL,Flags: TRIGGER_UNSUPPORTED: When you conquer here,Full_Card_Audit.json
OGN-290/298,The Arena's Greatest,battlefield,colorless,"At the start of each player's first Beginning Phase, that player gains 1 point.","Riftbound Battlefield: The Arena's Greatest. At the start of each player's first Beginning Phase, that player gains 1 point.","At the start of each player's first Beginning Phase, that player gains 1 point.",UNSUPPORTED,Flags: TRIGGER_UNSUPPORTED: At the start of each player's first Beginning Phase,problems.json
OGN-291/298,The Candlelit Sanctum,battlefield,colorless,"When you conquer here, look at the top two cards of your Main Deck. You may recycle one or both of them. Put those you don't back in any order.","Riftbound Battlefield: The Candlelit Sanctum. When you conquer here, look at the top two cards of your Main Deck. You may recycle one or both of them. Put those you don't back in any order.","On conquer here, look at the top two cards of your Main Deck. Optional: recycle one or both of them. Put those you don't back in any order.",UNSUPPORTED,Flags: TRIGGER_UNSUPPORTED: When you conquer here,Full_Card_Audit.json
OGN-292/298,The Dreaming Tree,battlefield,colorless,"The first time you choose a friendly unit with a spell here each turn, draw 1.","Riftbound Battlefield: The Dreaming Tree. The first time you choose a friendly unit with a spell here each turn, draw 1.","The first time you choose a friendly unit with a spell here each turn, draw 1.",FULL,,Full_Card_Audit.json
OGN-293/298,The Grand Plaza,battlefield,colorless,"When you hold here, if you have 7+ units here, you win the game.","Riftbound Battlefield: The Grand Plaza. When you hold here, if you have 7+ units here, you win the game.","Holding this battlefield, if you have 7+ units here, you win the game.",PARTIAL,Hold-here trigger plus 7-units win condition is implemented in resolver; deterministic scenario verification pending.,Full_Card_Audit.json
SFD-219/221,The Papertree,battlefield,colorless,"When you hold here, each player channels 1 rune exhausted.","Riftbound Battlefield: The Papertree. When you hold here, each player channels 1 rune exhausted.","Holding this battlefield, each player channels 1 rune exhausted.",UNKNOWN,,
SFD-220/221,Treasure Hoard,battlefield,colorless,"When you conquer here, you may pay [1] to play a Gold gear token exhausted.","Riftbound Battlefield: Treasure Hoard. When you conquer here, you may pay [1] to play a Gold gear token exhausted.","On conquer here, Optional: pay [1] to play a Gold gear token exhausted.",UNKNOWN,,
